"group_name","kb_id","query_id","query_text","context_id","top1","hit3","source1","source2","source3","content1","content2","content3","error"
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_800_QUERY_0","生命数耗完即算为什么？","TRIAL_800","False","False","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","《real world》为日本音乐团体EXILE（放浪兄弟）的第15张单曲。2004年6月30日于日本发行。Oricon最高排行第1、初动销量7.7万张、累计销量12.6万张日本电视系现场职棒转播《1球的紧张感 LIVE 2004》的形象曲，第二首歌是SHUN为个人活动布局的第1弹《清木场俊介》名义的歌曲《谢谢》。所以发行前评价很高，加上前作《Carry On/命运注定》广受好评，因而获得EXILE第一次的Oricon公信榜单曲榜第1名。但之后销量并未延伸，累计停在约12万张。2007年波士顿红袜队的松坂大辅在美国联盟的决赛最终战先发上投手丘的时候使用的入场歌曲。理由据说是因为歌词不错，《如果不拿出成果 那一切都将在这里结束》这段歌词相当符合自己的处境。松坂大辅特别演出2008年3月发售、收录在精选专辑《EXILE CATCHY BEST》版本的PV。AKIRA说《因为知道原曲，所以希望作出能不愧对于原曲的PV》。2008年3月播放的《CDTV×Sacas！》节目中第一次于公开场合演唱。
---","填字游戏是一种常见的益智游戏纸上游戏。游戏一般给出一个矩形的表格。这个表格被分割为若干个大小相同的方格，方格的颜色有白色与黑色两种。白色的方格组成一些交叉的行与列，行列的长度不等。玩家根据题目所提供的有关信息，将答案填入这些行与列之中，每个白色方格中只能填入一个字。一般地说，题目给出的每一条信息就是对应的一行或一列的解题线索。在行与列交叉的地方，玩家必须保证在交叉的方格中填入的字同时满足题目中对行与列的要求。下列就是一个英式填字游戏的例子：1. 羊声 (3)2. 不是气体或液体 (5)3. 幽默 (3)A. 交通工具 (3)B. 应许 (5)C. ""Dorothy""的缩写(3)这一题的解法就是：
---","Source: TRIAL_574_填字游戏.md",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_800_QUERY_1","若游戏中离，则多少分钟内不得进行配对？","TRIAL_800","False","False","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","填字游戏是一种常见的益智游戏纸上游戏。游戏一般给出一个矩形的表格。这个表格被分割为若干个大小相同的方格，方格的颜色有白色与黑色两种。白色的方格组成一些交叉的行与列，行列的长度不等。玩家根据题目所提供的有关信息，将答案填入这些行与列之中，每个白色方格中只能填入一个字。一般地说，题目给出的每一条信息就是对应的一行或一列的解题线索。在行与列交叉的地方，玩家必须保证在交叉的方格中填入的字同时满足题目中对行与列的要求。下列就是一个英式填字游戏的例子：1. 羊声 (3)2. 不是气体或液体 (5)3. 幽默 (3)A. 交通工具 (3)B. 应许 (5)C. ""Dorothy""的缩写(3)这一题的解法就是：
---","《real world》为日本音乐团体EXILE（放浪兄弟）的第15张单曲。2004年6月30日于日本发行。Oricon最高排行第1、初动销量7.7万张、累计销量12.6万张日本电视系现场职棒转播《1球的紧张感 LIVE 2004》的形象曲，第二首歌是SHUN为个人活动布局的第1弹《清木场俊介》名义的歌曲《谢谢》。所以发行前评价很高，加上前作《Carry On/命运注定》广受好评，因而获得EXILE第一次的Oricon公信榜单曲榜第1名。但之后销量并未延伸，累计停在约12万张。2007年波士顿红袜队的松坂大辅在美国联盟的决赛最终战先发上投手丘的时候使用的入场歌曲。理由据说是因为歌词不错，《如果不拿出成果 那一切都将在这里结束》这段歌词相当符合自己的处境。松坂大辅特别演出2008年3月发售、收录在精选专辑《EXILE CATCHY BEST》版本的PV。AKIRA说《因为知道原曲，所以希望作出能不愧对于原曲的PV》。2008年3月播放的《CDTV×Sacas！》节目中第一次于公开场合演唱。
---","Source: TRIAL_574_填字游戏.md",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_800_QUERY_2","玩家用什么泡封敌人？","TRIAL_800","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","基于《跑跑卡丁车》与《泡泡堂》上所开发的游戏，由韩国Nexon开发与发行。中国大陆由盛大游戏运营，这是Nexon时隔6年再次授予盛大网络其游戏运营权。台湾由游戏橘子运营。玩家以水枪、小枪、锤子或是水炸弹泡封敌人(玩家或NPC)，即为一泡封，将水泡击破为一踢爆。若水泡未在时间内踢爆，则会从水泡中释放或被队友救援(即为一救援)。每次泡封会减少生命数，生命数耗完即算为踢爆。重生者在一定时间内为无敌状态，以踢爆数计分较多者获胜，规则因模式而有差异。以2V2、4V4随机配对的方式，玩家可依胜场数爬牌位(依序为原石、铜牌、银牌、金牌、白金、钻石、大师) ，可选择经典、热血、狙击等模式进行游戏。若游戏中离，则4分钟内不得进行配对(每次中离+4分钟)。开放时间为暑假或寒假期间内不定期开放，8人经典模式随机配对，采计分方式，活动时间内分数越多，终了时可依该名次获得奖励。
---","Source: TRIAL_800_泡泡战士.md","填字游戏是一种常见的益智游戏纸上游戏。游戏一般给出一个矩形的表格。这个表格被分割为若干个大小相同的方格，方格的颜色有白色与黑色两种。白色的方格组成一些交叉的行与列，行列的长度不等。玩家根据题目所提供的有关信息，将答案填入这些行与列之中，每个白色方格中只能填入一个字。一般地说，题目给出的每一条信息就是对应的一行或一列的解题线索。在行与列交叉的地方，玩家必须保证在交叉的方格中填入的字同时满足题目中对行与列的要求。下列就是一个英式填字游戏的例子：1. 羊声 (3)2. 不是气体或液体 (5)3. 幽默 (3)A. 交通工具 (3)B. 应许 (5)C. ""Dorothy""的缩写(3)这一题的解法就是：
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_800_QUERY_3","游戏的模式有哪些？","TRIAL_800","False","False","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","填字游戏是一种常见的益智游戏纸上游戏。游戏一般给出一个矩形的表格。这个表格被分割为若干个大小相同的方格，方格的颜色有白色与黑色两种。白色的方格组成一些交叉的行与列，行列的长度不等。玩家根据题目所提供的有关信息，将答案填入这些行与列之中，每个白色方格中只能填入一个字。一般地说，题目给出的每一条信息就是对应的一行或一列的解题线索。在行与列交叉的地方，玩家必须保证在交叉的方格中填入的字同时满足题目中对行与列的要求。下列就是一个英式填字游戏的例子：1. 羊声 (3)2. 不是气体或液体 (5)3. 幽默 (3)A. 交通工具 (3)B. 应许 (5)C. ""Dorothy""的缩写(3)这一题的解法就是：
---","《real world》为日本音乐团体EXILE（放浪兄弟）的第15张单曲。2004年6月30日于日本发行。Oricon最高排行第1、初动销量7.7万张、累计销量12.6万张日本电视系现场职棒转播《1球的紧张感 LIVE 2004》的形象曲，第二首歌是SHUN为个人活动布局的第1弹《清木场俊介》名义的歌曲《谢谢》。所以发行前评价很高，加上前作《Carry On/命运注定》广受好评，因而获得EXILE第一次的Oricon公信榜单曲榜第1名。但之后销量并未延伸，累计停在约12万张。2007年波士顿红袜队的松坂大辅在美国联盟的决赛最终战先发上投手丘的时候使用的入场歌曲。理由据说是因为歌词不错，《如果不拿出成果 那一切都将在这里结束》这段歌词相当符合自己的处境。松坂大辅特别演出2008年3月发售、收录在精选专辑《EXILE CATCHY BEST》版本的PV。AKIRA说《因为知道原曲，所以希望作出能不愧对于原曲的PV》。2008年3月播放的《CDTV×Sacas！》节目中第一次于公开场合演唱。
---","Source: TRIAL_574_填字游戏.md",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_154_QUERY_0","尤金袋鼠分布在哪些地区？","TRIAL_154","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","尤金袋鼠（""Macropus eugenii""）是袋鼠科中细小的成员，通常都是就袋鼠及有袋类的研究对象。尤金袋鼠分布在澳洲南部岛屿及西岸地区。由于牠们每季在袋鼠岛都大量繁殖，破坏了针鼹岛上的生活环境而被认为是害虫。尤金袋鼠最初是于1628年船难的生还者在西澳发现的，是欧洲人最早有纪录的袋鼠发现，且可能是最早发现的澳洲哺乳动物。尤金袋鼠共有三个亚种：尤金袋鼠很细小，约只有8公斤重，适合饲养。尤金袋鼠的奶中有一种物质，称为AGG01，有可能是一种神奇药及青霉素的改良。AGG01是一种蛋白质，在实验中证实比青霉素有效100倍，可以杀死99%的细菌及真菌，如沙门氏菌、普通变型杆菌及金黄色葡萄球菌。
---","Source: TRIAL_154_尤金袋鼠.md","牛佬，香港漫画家，原名文启明，1961年10月15日出生，生肖属牛，已婚无子女，少年时成长于蓝田廉租屋，中学二年级时辍学。12岁开始从事漫画行业，其时七十年代漫画行业百花齐放，「玉郎图书公司」、「小宝出版社」及「保光出版社」三分漫画天下，同期亦有漫画报纸《光报》、《喜报》、《青报》、《金报》、《生报》等，文氏也先后曾辗转加入过。13岁跟随漫画师父上官玉郎（莫君岳）学习，14岁成为上官小宝（邝东源）入室弟子，黄钧岳亦是牛佬入行的启蒙老师，到了八十年代初再加入玉郎机构，曾编绘《金刚》及为《如来神掌》起稿。1986年加入「邝氏」（八二画社），制作《爱情故事》，任《鬼书皇II我若为皇》编剧及监制，主编《江湖大佬》至1992年离开。在1992年4月1日与陈科琳、文鉴鸿、邱瑞新及伦裕国成立「浩一有限公司」，开始了其代表作《古惑仔》，之后自己成立现今的「和平出版有限公司」，其同父异母兄长文国兆Jacky亦帮手在「和平出版有限公司」处理行政工作。兴趣是烟不离手、游泳、养狗、潜水和写作，曾在年青时学习过中国武术，西洋拳、空手道、自由搏击及跆拳道，近年多在公司内操练泰拳，牛佬先后考获潜水Diver Master潜水长资格，及一级（基础）泰拳教练资格。歌手偶像是罗大佑、麦当娜及张学友，喜爱的电影导演则有徐克、黑泽明及史提芬·史匹堡，欣赏的漫画家则有永安巧及大友克洋。幼年时代邻居觉得其声线沉闷如牛，鼻大似牛，个性像牛，于是得「牛佬」称号。牛佬重视培育漫画人材，曾成立「牛家班」。伦裕国、邱瑞新、温日良、毕亦乐、胡达泉、颜子健及吴文辉都曾受到牛佬的指导。牛佬是香港漫画家中最多旗下漫画角色被拍成电影；亦是第一个旗下漫画被用作为电脑上线游戏的蓝本;更加是第一个推出三日刊的香港漫画家。
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_154_QUERY_1","尤金袋鼠为什么会被认为是害虫？","TRIAL_154","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","尤金袋鼠（""Macropus eugenii""）是袋鼠科中细小的成员，通常都是就袋鼠及有袋类的研究对象。尤金袋鼠分布在澳洲南部岛屿及西岸地区。由于牠们每季在袋鼠岛都大量繁殖，破坏了针鼹岛上的生活环境而被认为是害虫。尤金袋鼠最初是于1628年船难的生还者在西澳发现的，是欧洲人最早有纪录的袋鼠发现，且可能是最早发现的澳洲哺乳动物。尤金袋鼠共有三个亚种：尤金袋鼠很细小，约只有8公斤重，适合饲养。尤金袋鼠的奶中有一种物质，称为AGG01，有可能是一种神奇药及青霉素的改良。AGG01是一种蛋白质，在实验中证实比青霉素有效100倍，可以杀死99%的细菌及真菌，如沙门氏菌、普通变型杆菌及金黄色葡萄球菌。
---","Source: TRIAL_154_尤金袋鼠.md","玉山箭竹（学名：），又名玉山矢竹、玉山云竹。原产于台湾、菲律宾、中国的云南及西藏，分布在1800到3800公尺的高海拔山区。台湾的奇莱山区、合欢山区、中央尖山山区都有大面积的玉山箭竹草原分布。玉山箭竹为唯一以「玉山」当成属名的植物。玉山箭竹茎干直径0.5-2公分。主根可深入地下三公尺，须根和地下茎则在地表下辐射成长。叶片长5-50公分，3-10片叶子一簇。叶具短柄，狭披针形，细锯齿缘，表面被黄褐色细毛，主脉两侧各具3-4条侧脉；叶耳不明显，具刚毛丛；叶舌近于圆形或截形；叶鞘长3-5公分，光滑无毛；箨灰棕色粗糙革质，外表面密被短毛，边缘被毛，先端截形；箨耳小，被短刚毛丛；箨舌截形；箨顶叶片狭长线形，先端锐尖，光滑无毛，全缘。花为暗红色的穗状花序，上著生5-9朵花，不常见。箭竹的繁殖有两种方式：一是从竹根部地下茎繁发竹笋，二是开花结子后撒落地上繁殖成林。玉山箭竹开花结果后植株即死亡，而玉山箭竹每次从开花、结子到成长为新的竹林，需要10年以上的时间。因此玉山箭竹林地全面的群体开花死亡常造成生态系的重大冲击。玉山箭竹的地下茎在每年四、五月间萌发新芽，箭竹笋由地表发育延伸为竹，而老的竹干此时也展露新叶。所以到了七、八月间，整个玉山箭竹草原呈现一片「碧草如茵」的景致。玉山箭竹的幼笋可食用，一般称之为「玉席」或「臭笋」。秆可编竹篱及作为各种工艺品的制作材料。台湾原住民用箭竹制作猎台湾野猪的陷阱；老茎精选笔直弹性佳者，可作为杆，或做织布干。台中布农族取箭竹去节做成鼻笛最为特殊。
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_154_QUERY_2","尤金袋鼠最初是何时被发现的？","TRIAL_154","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","尤金袋鼠（""Macropus eugenii""）是袋鼠科中细小的成员，通常都是就袋鼠及有袋类的研究对象。尤金袋鼠分布在澳洲南部岛屿及西岸地区。由于牠们每季在袋鼠岛都大量繁殖，破坏了针鼹岛上的生活环境而被认为是害虫。尤金袋鼠最初是于1628年船难的生还者在西澳发现的，是欧洲人最早有纪录的袋鼠发现，且可能是最早发现的澳洲哺乳动物。尤金袋鼠共有三个亚种：尤金袋鼠很细小，约只有8公斤重，适合饲养。尤金袋鼠的奶中有一种物质，称为AGG01，有可能是一种神奇药及青霉素的改良。AGG01是一种蛋白质，在实验中证实比青霉素有效100倍，可以杀死99%的细菌及真菌，如沙门氏菌、普通变型杆菌及金黄色葡萄球菌。
---","Source: TRIAL_154_尤金袋鼠.md","乌尔巴克齿龙（学名：""Urbacodon""）是伤齿龙科恐龙的一属，是种肉食性恐龙。乌尔巴克齿龙生存于上白垩纪早期的乌兹别克，约9500万年前。模式种是依特米乌尔巴克齿龙（""U. itemirensis""），是由Alexander Averianov与汉斯·戴尔特·苏伊士（Hans-Dieter Sues）在2007年命名。学名的前半部""URBAC""是个缩写字，由乌兹别克（Uzbek）、俄罗斯（Russian）、英国（British）、美国（American）、加拿大（Canadian）等国的缩写，这群科学家构成了乌尔巴克齿龙的挖掘团队。乌尔巴克齿龙的化石是一个左齿骨与附著的牙齿，发现于森诺曼阶的Dzharakuduk组。另外，Averianov与苏伊将一些牙齿，归类为乌尔巴克齿龙的未命名种（""Urbacodon"" sp.），这些牙齿发现于土仑阶的Bissekty组。乌尔巴克齿龙的正模标本是个长79.2公分的齿骨，上有32颗牙齿。乌尔巴克齿龙的牙齿缺乏锯齿边缘，类似拜伦龙与寐龙，但与大部分伤齿龙科不同。乌尔巴克齿龙与拜伦龙的差异在于，齿骨侧边的血管沟较少，齿冠前部较呈球根状；与寐龙的差异在于，乌尔巴克齿龙的体型较大。Averianov与苏伊认为乌尔巴克齿龙的齿骨笔直，牙齿较少，比伤齿龙、蜥鸟龙具有更多的祖征，但两人并没有将乌尔巴克齿龙放入演化树中。
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_154_QUERY_3","尤金袋鼠的体重大约是多少？","TRIAL_154","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","尤金袋鼠（""Macropus eugenii""）是袋鼠科中细小的成员，通常都是就袋鼠及有袋类的研究对象。尤金袋鼠分布在澳洲南部岛屿及西岸地区。由于牠们每季在袋鼠岛都大量繁殖，破坏了针鼹岛上的生活环境而被认为是害虫。尤金袋鼠最初是于1628年船难的生还者在西澳发现的，是欧洲人最早有纪录的袋鼠发现，且可能是最早发现的澳洲哺乳动物。尤金袋鼠共有三个亚种：尤金袋鼠很细小，约只有8公斤重，适合饲养。尤金袋鼠的奶中有一种物质，称为AGG01，有可能是一种神奇药及青霉素的改良。AGG01是一种蛋白质，在实验中证实比青霉素有效100倍，可以杀死99%的细菌及真菌，如沙门氏菌、普通变型杆菌及金黄色葡萄球菌。
---","Source: TRIAL_154_尤金袋鼠.md","爱普格新生儿评分(Apgar Score) 是美国医生维珍尼亚·阿普伽(Dr. Virginia Apgar)在1952年发明的一种对刚出生的新生婴儿健康状况快速评核方法。爱普格当时是在美国纽约执业的麻醉科医生。她为了评估分娩时麻醉过程对新生儿的影向，设计出评分方法。爱普格评分是现时全世界最普遍使用的新生婴儿健康评估，亦是新生婴儿护理的其中一样重要方法。爱普格评分由五项指标组成，每个指标得分为0-2分，总分为0-10分。五个指标分别为：外观Appearance，脉搏Pulse，不快Grimace，活动Activity，呼吸Respiration。爱普格评分是以发明者的姓氏为名。五项指标的英语首个字母刚好成为APGAR，是故意为方便记忆而倒定。测试通常在婴儿出生后一分钟及五分钟进行。若果持续低分，可能需要重复。3分以下表示情况危殆，4-6分为颇低，7-10分为健康情况正常。出生后一分钟时的低分，显示新生儿立即需要医护，但不一定表示将有长远问题。特别是如果五分钟时分数有改善，通常对成长没有长久后果。但如果到10,15,30分钟时，分数仍低于3，婴儿脑部神经受损的机会增多。早产、剖腹生产、高危妊娠的婴儿通常评分会稍低。在产科学上，爱普格评分经常被用作记录及比较不同方法对新生儿健康的影响。
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_154_QUERY_4","AGG01的实际功效有哪些？","TRIAL_154","False","False","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","亚硫酸盐是亚硫酸所成的盐，含有亚硫酸根离子SO。绝大多数葡萄酒中都自然存在亚硫酸盐，而且有时也在葡萄酒中加入亚硫酸盐作防腐剂，防止变质和氧化。白葡萄酒比红葡萄酒含有更多的亚硫酸盐，所以对亚硫酸盐过敏的人群，不要轻易尝试白葡萄酒。1987年后半年起，所有美国的葡萄酒若含有超过10ppm的亚硫酸盐，都必须特殊标明。欧盟类似的规定开始于2005年11月。加入到食品中作为防腐剂的亚硫酸盐可以有多种形式，包括：亚硫酸盐过敏是存在的，但它仍是不明确的过敏原，可能在食入后几分钟造成呼吸困难。大约1%的哮喘患者和对阿司匹林过敏的人更有可能对亚硫酸盐过敏。 过敏反应包括打喷嚏、喉咙肿胀以及麻疹，需要及时救治，且可能致命。对亚硫酸盐过敏的人应尽量避免食用用亚硫酸盐处理过的食品。
---","爱普格新生儿评分(Apgar Score) 是美国医生维珍尼亚·阿普伽(Dr. Virginia Apgar)在1952年发明的一种对刚出生的新生婴儿健康状况快速评核方法。爱普格当时是在美国纽约执业的麻醉科医生。她为了评估分娩时麻醉过程对新生儿的影向，设计出评分方法。爱普格评分是现时全世界最普遍使用的新生婴儿健康评估，亦是新生婴儿护理的其中一样重要方法。爱普格评分由五项指标组成，每个指标得分为0-2分，总分为0-10分。五个指标分别为：外观Appearance，脉搏Pulse，不快Grimace，活动Activity，呼吸Respiration。爱普格评分是以发明者的姓氏为名。五项指标的英语首个字母刚好成为APGAR，是故意为方便记忆而倒定。测试通常在婴儿出生后一分钟及五分钟进行。若果持续低分，可能需要重复。3分以下表示情况危殆，4-6分为颇低，7-10分为健康情况正常。出生后一分钟时的低分，显示新生儿立即需要医护，但不一定表示将有长远问题。特别是如果五分钟时分数有改善，通常对成长没有长久后果。但如果到10,15,30分钟时，分数仍低于3，婴儿脑部神经受损的机会增多。早产、剖腹生产、高危妊娠的婴儿通常评分会稍低。在产科学上，爱普格评分经常被用作记录及比较不同方法对新生儿健康的影响。
---","-{T|Gtk#}-Gtk#是个.NET的函式库，用来系结GTK+ GUI函式库。它让你可以使用Mono或其他相容CLR的语言来开发GNOME应用程式。Gtk#像其他现在的视窗函式库一样，采用事件驱动，让开发者可以在视窗元件的事件被触发时，处理要做的事情。以Gtk#建立的应用程式可以执行在许多平台上，如Linux、Microsoft Windows与Mac OS X等。Mono的Windows版本里面就直接将GTK+、Gtk#包在里面，并且提供了可以让应用程式看起来像原生Windows应用程式的主题。从Mono 1.9开始，在Mac OS X上执行Gtk#应用程式将不再需要X Window系统。在GUI设计上，Glade是个方便的设计工具，可以搭配Glade#来使用。此外还有Stetic（整合在MonoDevelop里面）也可以使用。""此文章主要翻译自同样以授权的Mono网站上。
---",""
"title-only","bb183bb6-7a3b-48c1-991a-ac6d3098494d","TRIAL_598_QUERY_0","松平康忠是什么时期的武将？","TRIAL_598","True","True","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","cmrc_merged_for_upload.md","松平康忠（1546年－1618年9月28日）是日本战国时代至安土桃山时代的武将。长泽松平家第8代当主。德川氏的家臣。德川家康的从弟。父亲是松平政忠。母亲是松平清康的女儿碓井姬。正室是矢田姬（松平广忠的女儿，家康的妹妹）。继室是松平信定的女儿。通称源七郎、上野介。在天文15年（1546年）出生。父亲政忠在永禄3年（1560年）5月的桶狭间之战中被讨死，祖父亲广成为年幼的康忠的后见。另一方面，母亲碓井姬再嫁给德川家的重臣酒井忠次，于是与康忠分开。在永禄5年 （1562年）元服，被任命为三河国宝饭郡小坂井等1千8百10贯文的知行。康忠的叔父信重和近清等人亦被家康给予1百贯文并任命为辅佐。信重在翌年的三河一向一揆属于家康方被讨死，而近清一直辅助康忠直至天正16年（1588年）死去。此后康忠在元龟元年（1570年）从属于义父忠次参加姉川之战。接著在天正3年（1575年）的长筿之战中并跟随忠次参战。作为德川军的别働队攻略武田信实守备的鸢巢砦，成为帮助长筿城解围。之后成为家康的嫡男信康的家老，不过因为信康在天正7年（1579年）自杀而蛰居。后来得到家康的允许而复归，在天正10年（1582年）的本能寺之变发生后与家康一同穿越伊贺。之后参加天正12年（1584年）的小牧长久手之战。在天正16年（1588年）把家督让予嫡子康直并在京都隐居。不久，成为武藏深谷藩藩主的康直在文禄2年（1593年）以24歳之龄病死。已经隐居的康忠收家康的七男松千代为康直的养子并令其继承深谷藩1万石。不过松千代亦在庆长4年（1599年）死去，因此以松千代的哥哥辰千代（后来的松平忠辉）为继承人。在元和4年（1618年）8月10日死去。享年73岁。法号是源斋。在元和2年（1616年）因为忠辉被改易而令长泽松平家嫡流绝后，不过康忠的血脉亦有存续到后世。在天文9年（1540年）的安城合战中战死的同名武将松平康忠（甚六郎）是松平宗家亲忠系的松平张忠的儿子，不是同一人。
---","Source: TRIAL_598_松平康忠.md","有田中井手之战是武田元繁与毛利元就的战争，也是毛利元就的初阵，最后武田元繁战死，被誉为西国的桶狭间之战。毛利元就1000人，武田元繁5000人。当时正值毛利家当主毛利兴元方才去世不久，年仅两岁的其子毛利幸松丸被拥立为下任当主，由当时尚无作战经验的元就与其弟相合元纲共同担任监护人之职，坐镇于佐东银山城的武田元繁见有机可趁，随即命令部下熊谷元直担任先锋，率军前往毛利领地烧杀掳掠，自己则会同香川行景、己斐宗瑞等豪族，进攻位于吉田郡山城邻近的有田城。隶属于吉川家的有田城主小田信忠，闻知武田家大军来袭，随即派出使者前往毛利家求援。毛利元就以有田城若失陷，则吉田郡山城亦将不保的考量下，决定率领部队支援。首先击杀了武田家的先锋熊谷元直，武田元繁闻元直死讯而大怒，亲率部队来迎战元就。时值夜色，元就采奇袭战术，使武田军势大乱，武田元繁在混乱中遇袭身亡，决定了毛利家的胜利。有田中井手之战 - 吉田郡山城之战 - 第一次月山富田城之战 - 折敷畑之战 - 严岛之战 - 防长经略 - 忍原崩 - 第二次月山富田城之战 - 多多良滨之战 - 布部山之战 - 上月城之战 - 备中兵乱 - 鸟取城之战 - 备中高松城之战
---",""
